印	馬番	馬名	人気	オッズ	勝率	EV
○	5	ピコバレット NaN94%	7	28.3	21.2%	EV+0.18
▲	6	ウインラブソング NaN68%	14	153.9	21.2%	EV+0.21
△	7	ドゥボヌール NaN67%	9	39.1	21.2%	EV+0.19
×	9	ゲンテン	3	4.2	5.7%	EV-0.13
	1	ウレシイゴサン NaN28%	4	9.8	3.4%	EV-0.05
	13	ハルヒメ NaN22%	1	3.1	3.4%	EV-0.22
	11	リュウセイコウテイ NaN22%	6	13.9	1.2%	EV-0.05
	12	ソワンドヴィクター NaN28%	5	10.6	1.2%	EV-0.06
	10	マイネルユーゲント NaN22%	2	3.5	0.5%	EV-0.22
	15	チャーミングアイ NaN26%	8	38.8	0.4%	EV-0.02
	3	グランフォワイエ NaN40%	16	287.3	0.0%	EV-0.00
	4	アンコ NaN48%	12	146.3	0.0%	EV-0.01
	8	シンデレラリバティ NaN21%	15	187.2	0.0%	EV-0.00
	14	ピコテーパー NaN48%	10	55.8	0.0%	EV-0.01
	16	ユニベールクイーン NaN47%	13	149.5	0.0%	EV-0.01
印	馬番	馬名	人気	オッズ	勝率	EV
◎	3	アーガイルショア NaN28%	2	3.9	64.7%	EV+0.44
○	1	ジュディーイメル	1	2.3	1.2%	EV-0.34
▲	6	キタノオンザバス NaN67%	14	674.3	0.9%	EV+0.01
△	8	ミヤカグラ NaN67%	11	298.0	0.9%	EV+0.01
×	12	ナムラカメコ NaN94%	10	201.1	0.9%	EV+0.01
	15	キタノプレミアム NaN67%	4	7.2	0.9%	EV-0.10
	10	プラチナムディスク NaN28%	5	13.6	0.8%	EV-0.05
	7	ヘヴンズドライブ NaN33%	6	19.6	0.4%	EV-0.04
	11	キャスケード NaN28%	9	47.1	0.4%	EV-0.01
	2	メイワメジェール NaN32%	7	20.3	0.3%	EV-0.04
	13	メリオルヴィア NaN39%	3	5.0	0.3%	EV-0.16
	4	ジョリュウジャンシ NaN39%	-	-	0.0%	
	5	ジュエルサンライズ NaN27%	8	36.6	0.0%	EV-0.02
	9	オダイ NaN32%	12	298.2	0.0%	EV-0.00
	14	ブールドネージュ NaN31%	13	621.8	0.0%	EV-0.00
印	馬番	馬名	人気	オッズ	勝率	EV
◎	6	セブンワンダーズ NaN12%	3	8.9	49.7%	EV+0.41
○	2	マイネルゼーロス	2	6.9	22.7%	EV+0.11
▲	10	アイビーチーキー NaN48%	1	1.1	14.5%	EV-0.58
△	5	ザンテソーロ NaN32%	5	29.9	7.8%	EV+0.05
×	4	トクシーゼファー NaN67%	4	24.0	3.3%	EV-0.00
	8	ブライトラン NaN21%	7	64.9	2.8%	EV+0.02
	1	ホシヅキヨ	6	54.8	0.0%	EV-0.01
	3	エルヴ NaN32%	10	259.0	0.0%	EV-0.00
	7	スナップジジ NaN39%	9	246.5	0.0%	EV-0.00
	9	ラブミーアゲイン NaN48%	8	120.1	0.0%	EV-0.01
印	馬番	馬名	人気	オッズ	勝率	EV
◎	2	リアルフォルゴーレ	10	87.3	24.9%	EV+0.24
○	5	サングラデーション	2	3.5	19.7%	EV-0.03
▲	10	ダスク	4	8.6	12.1%	EV+0.03
△	7	ヴォルスター	11	108.4	9.3%	EV+0.09
×	6	ルルフィーユ	8	53.6	6.7%	EV+0.05
	1	ノーブルクライ	1	2.6	5.7%	EV-0.25
	4	クラウンウルル	12	200.8	5.7%	EV+0.05
	8	マグナレガリア	3	4.6	5.0%	EV-0.12
	3	セットアップ	7	21.4	3.4%	EV-0.00
	11	バニーラビット	6	18.7	3.4%	EV-0.01
	12	デスティネ NaN18%	9	57.1	3.4%	EV+0.02
	9	ジロラータ NaN21%	5	9.7	1.2%	EV-0.07
	13	スノーリン	13	279.9	0.0%	EV-0.00
印	馬番	馬名	人気	オッズ	勝率	EV
◎	13	ダノンミッドナイト NaN38%	1	4.4	27.1%	EV+0.09
○	16	アースアクシス NaN47%	8	17.0	27.1%	EV+0.22
▲	15	ディアアズール NaN38%	2	5.0	10.1%	EV-0.06
△	11	ミョンソクコムドリ NaN70%	15	262.2	9.3%	EV+0.09
×	12	ブルーザー NaN27%	3	5.6	8.2%	EV-0.06
	4	ナムラオリガミ NaN21%	5	8.7	3.4%	EV-0.06
	3	ゼータレティクル NaN22%	10	32.4	1.4%	EV-0.01
	14	キコリータ NaN39%	7	12.4	1.4%	EV-0.05
