rank  feature                                     coef    NaN率
 271  着差タイム_クラス補正_2走前                           0.0099    28%
 272  前走_追い上げ度                                  0.0098    55%
 273  10走前_走破タイム_sec                            0.0098    64%
 274  6走前_着順_num                                0.0098    48%
 275  9走前_クラス_rank                              0.0097    62%
 276  8走前_クラス_rank                              0.0092    58%
 277  4角位置_近3走_slope                            0.0091    19%
 278  pace_単独逃げ                                 0.0091   100%
 279  8走前_4角                                    0.0085    57%
 280  前走脚質_num                                  0.0081    10%
 281  3走前_着順_num                                0.0081    28%
 282  3走前_タイム指数                                 0.0078    30%
 283  4走前_馬番                                    0.0077    36%
 284  pace_有利スコア                                0.0074   100%
 285  種牡馬_ダ_勝率                                  0.0070     0%
 286  乗替り_近走不振                                  0.0068     0%
 287  良馬場_平均着順_近5走                              0.0067    13%
 288  9走前_間隔                                    0.0066    64%
 289  10走前_着順_num                               0.0064    64%
 290  馬距離_勝率                                    0.0064     0%
 291  馬_r20_勝率                                  0.0064     0%
 292  近走連続入着数                                   0.0063     0%
 293  6走前_RPCI                                  0.0062    49%
 294  7走前_4角                                    0.0061    53%
 295  6走前_馬番                                    0.0060    48%
 296  7走前_馬体重増減                                 0.0060    57%
 297  8走前_脚質_num                                0.0058    57%
 298  3走前_馬体重増減                                 0.0058    36%
 299  6走前_脚質_num                                0.0055    48%
 300  2走前_着順_num                                0.0055    19%
 301  5走前_RPCI                                  0.0055    43%
 302  騎手_r200_勝率                                0.0053     1%
 303  騎手距離_r100_勝率                              0.0053     1%
 304  4走前_クラス調整着順                               0.0052    36%
 305  脚質フィット                                    0.0052    13%
 306  騎手馬場_r100_複勝率                             0.0050     0%
 307  馬_r20_複勝率                                 0.0050     0%
 308  馬距離_複勝率                                   0.0050     0%
 309  6走前_馬体重増減                                 0.0048    53%
 310  道悪_平均着順_近5走                               0.0047    68%
 311  母父馬_複勝率                                   0.0045     0%
 312  7走前_馬番                                    0.0044    52%
 313  前4角                                       0.0043    12%
 314  前走_4角位置                                   0.0043    12%
 315  9走前_馬番                                    0.0039    61%
 316  同馬場_平均着順_近5走                              0.0039    29%
 317  2走前_4角                                    0.0039    20%
 318  馬番                                        0.0036     0%
 319  3走前_前走着差タイム                               0.0035    36%
 320  10走前_間隔                                   0.0031    67%
 321  5走前_間隔                                    0.0031    48%
 322  8走前_間隔                                    0.0028    61%
 323  10走前_4角                                   0.0027    64%
 324  同会場_出走数_近5走                               0.0026     0%
 325  3走前_走破タイム_sec                             0.0024    28%
 326  展開フィット_v2                                 0.0024    12%
 327  5走前_馬体重増減                                 0.0022    48%
 328  5走前_走破タイム_sec                             0.0020    42%
 329  7走前_前走着差タイム                               0.0019    57%
 330  産地_複勝率                                    0.0019     0%
 331  10走前_馬体重増減                                0.0018    67%
 332  9走前_着順_num                                0.0015    61%
 333  ブリンカー変更                                   0.0014     0%
 334  4走前_馬体重増減                                 0.0014    42%
 335  10走前_馬番                                   0.0014    64%
 336  5走前_頭数                                    0.0013    42%
 337  10走前_脚質_num                               0.0013    64%
 338  6走前_間隔                                    0.0009    52%
 339  2走前_PCI                                   0.0008    21%
 340  生産者_複勝率                                   0.0007     0%
 341  7走前_脚質_num                                0.0007    53%
 342  1走前_馬番                                    0.0004    10%
 343  内外枠                                       0.0003     0%
 344  騎手脚質_r100_勝率                              0.0003     1%
 345  ブリンカー_装着                                  0.0002     0%
 346  前走ブリンカー_装着                                0.0001     0%
 347  距離変化_m                                    0.0000   100%
